Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
ORALBIOL 672,,,,,,,,,,,,,,,,
ORALBIOL 676,,,,,,,,,,,,,,,,
ORALBIOL 678,,,,,,,,,,,,,,,,
ORALBIOL 773,,,,,,,,,,,,,,,,
ORALBIOL 774,,,,,,,,,,,,,,,,
ORALBIOL 779,,,,,,,,,,,,,,,,
ORALBIOL 852,,,,,,,,,,,,,,,,
ORALBIOL 853,,,,,,,,,,,,,,,,
ORALBIOL 855,,,,,,,,,,,,,,,,
ORALBIOL 856,,,,,,,,,,,,,,,,
ORALBIOL 857,,,,,,,,,,,,,,,,
ORALBIOL 859,,,,,,,,,,,,,,,,
ORALDIAG 662,,,,44%,35%,9%,<1%,<1%,13%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORALHEAL 603,,,,,,,,,,,,,,,,
ORALHEAL 606,,,,,,,,,,,,,,,,
ORALHEAL 811,,,,,,,,,,,,,,,,
ORALPATH 601,,,,,,,,,,,,,,,,
ORALPATH 611,,,,,,,,,,,,,,,,
ORALPATH 621,,,,,,,,,,,,,,,,
ORALPATH 631,,,,,,,,,,,,,,,,
ORALPATH 692,,,,,,,,,,,,,,,,
ORALPATH 693,,,,,,,,,,,,,,,,
ORALPATH 694,,,,,,,,,,,,,,,,
ORALPATH 698,,,,,,,,,,,,,,,,
ORALPATH 699,,,,,,,,,,,,,,,,
ORALPATH 701,,,,,,,,,,,,,,,,
ORALPATH 711,,,,,,,,,,,,,,,,
ORALPATH 721,,,,,,,,,,,,,,,,
ORALPATH 731,,,,,,,,,,,,,,,,
ORALPATH 741,,,,,,,,,,,,,,,,
ORALPATH 801,,,,,,,,,,,,,,,,
ORALPATH 811,,,,,,,,,,,,,,,,
ORALPATH 821,,,,,,,,,,,,,,,,
ORALPATH 831,,,,,,,,,,,,,,,,
ORTHO 700,,,,,,,,,,,,,,,,
ORTHO 753,,,,<1%,29%,32%,32%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 755,,,,,,,,,,,,,,,,
ORTHO 756,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 757,,,,50%,50%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 759,,,,,,,,,,,,,,,,
ORTHO 760,,,,4%,31%,32%,24%,5%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 761,,,,<1%,44%,32%,15%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 763,,,,75%,21%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ORTHO 764,,,,,,,,,,,,,,,,
