Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
ASIANLAN 285,100%,50%,50%,,,,,,,,,,,,,
ASIANLAN 301,94%,91%,45%,6%,36%,32%,16%,7%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 304,86%,100%,33%,4%,57%,21%,10%,5%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 305,100%,100%,19%,3%,67%,20%,5%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 325,98%,92%,53%,8%,29%,23%,14%,11%,6%,3%,2%,1%,<1%,1%,<1%,<1%
ASIANLAN 335,95%,100%,14%,19%,44%,23%,10%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 401,88%,57%,12%,3%,45%,29%,14%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 403,,,,,,,,,,,,,,,,
ASIANLAN 405,95%,100%,20%,14%,66%,12%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
ASIANLAN 407,86%,100%,,4%,54%,14%,<1%,18%,4%,<1%,4%,<1%,<1%,<1%,<1%,4%
ASIANLAN 411,100%,100%,12%,,,,,,,,,,,,,
ASIANLAN 417,,,,24%,59%,3%,10%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 419,90%,100%,40%,,,,,,,,,,,,,
ASIANLAN 425,96%,100%,19%,16%,49%,13%,11%,8%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 429,97%,90%,12%,15%,47%,22%,8%,4%,1%,<1%,<1%,<1%,<1%,1%,<1%,1%
ASIANLAN 436,100%,100%,27%,48%,22%,22%,<1%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 439,,,,21%,46%,18%,9%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,2%
ASIANLAN 441,97%,100%,61%,7%,49%,27%,7%,7%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 445,94%,100%,,,,,,,,,,,,,,
ASIANLAN 451,,,,,,,,,,,,,,,,
ASIANLAN 455,,,,,,,,,,,,,,,,
ASIANLAN 461,100%,80%,22%,,,,,,,,,,,,,
ASIANLAN 471,92%,62%,17%,,,,,,,,,,,,,
ASIANLAN 475,,,,,,,,,,,,,,,,
ASIANLAN 485,,,,,,,,,,,,,,,,
ASIAN 204,61%,85%,22%,<1%,28%,19%,11%,17%,16%,3%,3%,2%,<1%,<1%,<1%,1%
ASIAN 206,84%,93%,11%,3%,19%,20%,23%,20%,9%,3%,3%,1%,<1%,<1%,<1%,1%
ASIAN 207,77%,95%,9%,5%,31%,20%,18%,16%,6%,2%,2%,<1%,<1%,<1%,<1%,<1%
ASIAN 210,62%,94%,3%,4%,62%,7%,7%,8%,1%,1%,4%,<1%,3%,3%,<1%,<1%
ASIAN 211,,,,,,,,,,,,,,,,
ASIAN 225,,,,26%,34%,23%,11%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 230,81%,97%,8%,7%,40%,24%,10%,11%,3%,2%,2%,1%,<1%,<1%,<1%,<1%
ASIAN 235,67%,90%,28%,21%,52%,12%,7%,4%,2%,<1%,1%,1%,<1%,<1%,<1%,1%
ASIAN 252,85%,100%,31%,12%,33%,23%,13%,11%,1%,<1%,1%,1%,3%,<1%,<1%,1%
ASIAN 253,,,,,,,,,,,,,,,,
ASIAN 260,72%,89%,14%,24%,40%,22%,3%,5%,3%,1%,1%,<1%,<1%,<1%,1%,<1%
ASIAN 280,69%,93%,15%,11%,53%,17%,8%,4%,6%,1%,1%,<1%,<1%,<1%,<1%,<1%
ASIAN 292,75%,89%,4%,10%,46%,25%,10%,6%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 300,64%,95%,5%,2%,55%,23%,16%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 304,90%,100%,14%,2%,23%,38%,12%,13%,8%,2%,2%,1%,<1%,<1%,<1%,<1%
ASIAN 308,,,,<1%,36%,28%,19%,8%,6%,<1%,2%,<1%,<1%,<1%,<1%,<1%
ASIAN 314,83%,97%,17%,11%,42%,33%,13%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 326,67%,100%,75%,10%,33%,43%,10%,<1%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 329,,,,2%,24%,26%,30%,9%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 334,80%,80%,60%,,,,,,,,,,,,,
ASIAN 335,81%,100%,20%,3%,23%,34%,20%,11%,<1%,<1%,3%,<1%,<1%,3%,<1%,3%
ASIAN 349,,,,,,,,,,,,,,,,
ASIAN 351,,,,,,,,,,,,,,,,
ASIAN 352,88%,100%,50%,3%,61%,18%,3%,15%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 354,80%,,50%,1%,30%,21%,19%,21%,5%,2%,1%,<1%,<1%,<1%,<1%,1%
ASIAN 356,89%,,,46%,9%,27%,18%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 366,84%,94%,,20%,58%,16%,1%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 367,65%,88%,12%,4%,58%,20%,8%,5%,4%,<1%,<1%,<1%,<1%,<1%,<1%,1%
ASIAN 369,,,,6%,39%,27%,18%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 378,,,,<1%,76%,16%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,4%,<1%
ASIAN 381,50%,91%,30%,6%,30%,40%,13%,8%,2%,<1%,1%,1%,<1%,<1%,<1%,1%
ASIAN 389,75%,90%,38%,8%,16%,34%,17%,13%,3%,3%,4%,1%,<1%,<1%,<1%,1%
ASIAN 428,79%,94%,17%,10%,15%,43%,15%,8%,3%,2%,1%,1%,<1%,<1%,<1%,<1%
ASIAN 440,,,,<1%,50%,<1%,50%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 450,,,,9%,44%,25%,16%,5%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 458,,,,1%,47%,12%,14%,9%,3%,<1%,1%,1%,<1%,<1%,<1%,12%
ASIAN 480,84%,95%,48%,16%,49%,19%,8%,3%,<1%,<1%,1%,1%,<1%,1%,<1%,<1%
ASIAN 486,,,,,,,,,,,,,,,,
ASIAN 504,,,,,,,,,,,,,,,,
ASIAN 550,83%,93%,47%,5%,68%,18%,5%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 560,,,,,,,,,,,,,,,,
ASIAN 582,81%,100%,20%,<1%,80%,<1%,20%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIAN 590,,,,<1%,72%,22%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANPAM 102,,,,<1%,92%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANPAM 214,57%,100%,19%,1%,59%,26%,8%,4%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ASIANPAM 301,81%,100%,9%,41%,46%,4%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANPAM 310,,,,40%,35%,15%,5%,<1%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANPAM 314,,,,8%,29%,42%,10%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASTRO 101,59%,87%,19%,4%,26%,21%,14%,15%,7%,5%,4%,2%,<1%,1%,<1%,1%
ASTRO 102,56%,83%,15%,8%,22%,19%,14%,15%,8%,4%,4%,2%,1%,<1%,<1%,1%
ASTRO 104,62%,71%,39%,17%,34%,10%,7%,10%,6%,3%,5%,2%,1%,2%,<1%,2%
ASTRO 106,65%,85%,13%,30%,31%,12%,8%,9%,3%,2%,2%,1%,<1%,1%,<1%,1%
ASTRO 107,65%,92%,27%,43%,37%,8%,5%,2%,1%,1%,1%,<1%,<1%,<1%,<1%,1%
ASTRO 115,60%,85%,17%,5%,19%,18%,16%,18%,11%,4%,4%,2%,1%,1%,1%,<1%
ASTRO 127,75%,89%,30%,28%,44%,10%,3%,7%,2%,1%,1%,1%,<1%,<1%,<1%,1%
ASTRO 142,51%,76%,8%,6%,19%,18%,18%,14%,11%,5%,4%,2%,1%,1%,1%,1%
ASTRO 182,,,,8%,58%,17%,8%,<1%,<1%,<1%,8%,<1%,<1%,<1%,<1%,<1%
ASTRO 183,71%,94%,6%,8%,51%,17%,7%,7%,5%,1%,1%,1%,<1%,1%,<1%,1%
ASTRO 201,84%,91%,12%,8%,28%,22%,16%,8%,8%,3%,2%,1%,1%,<1%,1%,1%
ASTRO 220,75%,100%,26%,15%,33%,26%,11%,6%,6%,<1%,1%,<1%,1%,<1%,<1%,1%
ASTRO 255,42%,84%,8%,6%,21%,33%,16%,11%,8%,5%,<1%,1%,<1%,<1%,<1%,<1%
ASTRO 361,80%,91%,39%,15%,52%,16%,4%,3%,3%,2%,<1%,2%,<1%,<1%,1%,1%
ASTRO 402,,,,6%,18%,17%,18%,12%,11%,3%,6%,3%,1%,1%,1%,3%
ASTRO 406,91%,88%,38%,17%,41%,7%,14%,17%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,3%
ASTRO 420,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASTRO 530,,,,<1%,35%,35%,13%,9%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASTRO 532,,,,8%,40%,28%,16%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 101,64%,91%,9%,14%,41%,12%,8%,12%,4%,3%,3%,1%,<1%,2%,<1%,2%
BIOLOGY 105,75%,90%,14%,4%,32%,22%,10%,17%,7%,2%,4%,1%,<1%,<1%,<1%,<1%
BIOLOGY 108,73%,95%,17%,15%,55%,9%,3%,9%,3%,3%,3%,<1%,1%,<1%,<1%,<1%
BIOLOGY 110,76%,90%,23%,7%,18%,25%,21%,12%,8%,4%,1%,1%,1%,1%,1%,<1%
BIOLOGY 120,77%,85%,2%,13%,65%,14%,4%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 121,67%,93%,5%,26%,48%,9%,6%,6%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 171,60%,86%,53%,1%,13%,15%,16%,20%,11%,8%,7%,3%,2%,1%,1%,1%
BIOLOGY 172,68%,90%,38%,2%,14%,12%,9%,18%,10%,7%,12%,5%,3%,4%,2%,2%
BIOLOGY 173,55%,76%,38%,3%,29%,24%,17%,16%,6%,2%,1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 192,,,,7%,29%,7%,7%,29%,21%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 201,,,,,,,,,,,,,,,,
BIOLOGY 205,76%,94%,25%,2%,14%,16%,17%,19%,10%,10%,7%,3%,1%,<1%,1%,<1%
BIOLOGY 207,69%,92%,33%,4%,23%,16%,15%,23%,8%,5%,4%,2%,<1%,<1%,<1%,<1%
BIOLOGY 212,81%,94%,,4%,34%,41%,12%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 222,51%,84%,53%,5%,24%,21%,17%,13%,8%,5%,3%,1%,<1%,<1%,<1%,<1%
BIOLOGY 225,81%,93%,35%,8%,15%,17%,14%,14%,11%,7%,6%,5%,2%,1%,1%,<1%
BIOLOGY 226,66%,83%,22%,9%,44%,30%,9%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLOGY 281,60%,81%,31%,1%,20%,11%,14%,22%,8%,9%,8%,3%,2%,1%,<1%,2%
BIOLOGY 305,57%,85%,48%,2%,14%,12%,11%,18%,10%,8%,9%,6%,2%,4%,<1%,2%
BIOLOGY 525,,,,4%,38%,15%,23%,19%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 370,94%,90%,10%,7%,30%,37%,6%,6%,7%,7%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 421,,,,,,,,,,,,,,,,
BIOPHYS 435,100%,,,<1%,33%,33%,<1%,33%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 440,67%,68%,32%,23%,36%,27%,9%,2%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%
BIOPHYS 450,62%,92%,41%,17%,43%,26%,6%,4%,1%,3%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 463,70%,100%,52%,3%,21%,37%,24%,10%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 495,54%,94%,,6%,85%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 501,72%,83%,13%,3%,42%,20%,11%,20%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 520,68%,79%,8%,27%,39%,18%,6%,4%,3%,<1%,<1%,<1%,<1%,1%,<1%,<1%
BIOPHYS 535,100%,,,23%,23%,15%,23%,8%,<1%,8%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 550,61%,92%,42%,21%,52%,21%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 595,54%,94%,,11%,71%,11%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOPHYS 801,67%,73%,17%,,,,,,,,,,,,,
BCS 131,100%,100%,21%,20%,69%,6%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BCS 231,,,,21%,74%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BCS 450,100%,100%,17%,,,,,,,,,,,,,
BCS 531,100%,100%,21%,40%,60%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BCS 533,,,,67%,33%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CIC 301,,,,,,,,,,,,,,,,
CIC 501,,,,,,,,,,,,,,,,
CIC 502,,,,,,,,,,,,,,,,
CIC 503,,,,,,,,,,,,,,,,
CIC 504,,,,,,,,,,,,,,,,
CIC 505,,,,,,,,,,,,,,,,
CIC 506,,,,,,,,,,,,,,,,
CIC 507,,,,,,,,,,,,,,,,
CIC 508,,,,,,,,,,,,,,,,
CIC 509,,,,,,,,,,,,,,,,
CIC 510,,,,,,,,,,,,,,,,
CIC 511,,,,,,,,,,,,,,,,
CIC 520,,,,,,,,,,,,,,,,
CATALAN 291,100%,100%,31%,2%,45%,39%,10%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CATALAN 441,62%,100%,25%,18%,71%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 105,51%,82%,8%,18%,49%,17%,7%,4%,2%,1%,1%,1%,<1%,<1%,<1%,<1%
CHEM 125,35%,70%,54%,1%,39%,22%,14%,10%,6%,3%,2%,1%,<1%,<1%,<1%,<1%
CHEM 126,51%,,29%,1%,39%,22%,14%,10%,6%,3%,2%,1%,<1%,<1%,<1%,<1%
CHEM 130,38%,80%,33%,1%,11%,16%,18%,17%,13%,9%,6%,4%,2%,1%,1%,1%
CHEM 210,59%,87%,44%,2%,19%,10%,10%,24%,8%,6%,7%,5%,<1%,4%,<1%,4%
CHEM 211,43%,73%,23%,14%,37%,23%,17%,6%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 215,61%,88%,45%,2%,22%,13%,12%,22%,8%,6%,9%,2%,<1%,2%,<1%,2%
CHEM 216,42%,80%,62%,4%,42%,19%,14%,16%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%
CHEM 230,43%,88%,61%,5%,12%,18%,18%,17%,13%,7%,5%,1%,<1%,1%,<1%,1%
CHEM 241,49%,91%,19%,7%,20%,20%,16%,14%,8%,5%,6%,2%,1%,<1%,<1%,<1%
CHEM 242,61%,93%,36%,10%,30%,28%,16%,10%,4%,<1%,1%,<1%,<1%,<1%,<1%,<1%
CHEM 245,33%,74%,36%,7%,20%,16%,17%,18%,10%,6%,4%,2%,<1%,<1%,<1%,<1%
CHEM 246,37%,84%,50%,4%,44%,30%,13%,6%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%
CHEM 247,41%,80%,66%,4%,44%,30%,13%,6%,1%,1%,1%,1%,<1%,<1%,<1%,<1%
CHEM 260,53%,80%,37%,4%,22%,24%,18%,15%,8%,3%,2%,2%,1%,<1%,1%,1%
CHEM 261,53%,80%,37%,5%,21%,23%,20%,18%,6%,3%,3%,1%,<1%,<1%,<1%,<1%
CHEM 262,45%,89%,60%,12%,24%,24%,16%,11%,4%,5%,2%,1%,<1%,<1%,<1%,1%
CHEM 303,55%,91%,38%,4%,12%,14%,23%,20%,11%,8%,4%,1%,<1%,2%,<1%,1%
CHEM 351,79%,92%,70%,4%,19%,15%,14%,14%,11%,5%,11%,3%,<1%,3%,<1%,2%
CHEM 352,73%,94%,13%,9%,47%,25%,13%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 353,72%,91%,14%,25%,37%,19%,12%,6%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 370,94%,90%,10%,7%,30%,37%,6%,6%,7%,7%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 402,73%,96%,75%,7%,20%,17%,15%,20%,6%,3%,8%,3%,<1%,1%,<1%,<1%
CHEM 415,35%,87%,2%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 419,84%,97%,22%,4%,37%,26%,14%,11%,2%,2%,1%,1%,<1%,<1%,<1%,2%
CHEM 440,67%,68%,32%,23%,36%,27%,9%,2%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%
CHEM 451,77%,89%,45%,9%,20%,15%,11%,17%,10%,6%,4%,3%,<1%,4%,<1%,2%
CHEM 453,39%,82%,20%,16%,17%,21%,16%,14%,7%,3%,2%,2%,<1%,<1%,<1%,1%
CHEM 455,79%,89%,12%,13%,30%,22%,21%,9%,1%,1%,<1%,<1%,<1%,1%,<1%,1%
CHEM 461,73%,86%,16%,6%,29%,25%,10%,12%,4%,4%,3%,1%,<1%,2%,1%,4%
CHEM 462,43%,84%,37%,11%,70%,11%,3%,1%,2%,<1%,<1%,1%,<1%,<1%,<1%,2%
CHEM 482,68%,77%,68%,<1%,22%,25%,22%,14%,7%,1%,1%,1%,<1%,4%,<1%,2%
CHEM 485,,,,,,,,,,,,,,,,
CHEM 501,72%,83%,13%,3%,42%,20%,11%,20%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
CHEM 505,78%,88%,12%,22%,25%,22%,6%,16%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 507,88%,100%,30%,2%,29%,20%,34%,11%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 520,68%,79%,8%,27%,39%,18%,6%,4%,3%,<1%,<1%,<1%,<1%,1%,<1%,<1%
CHEM 525,,,,4%,38%,15%,23%,19%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 540,56%,84%,6%,10%,26%,27%,15%,16%,5%,1%,<1%,1%,<1%,<1%,<1%,<1%
CHEM 543,96%,96%,51%,14%,26%,23%,20%,12%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 548,74%,77%,,2%,90%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 550,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 570,75%,87%,14%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 571,94%,94%,34%,<1%,57%,30%,8%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 576,72%,62%,34%,20%,54%,19%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 597,93%,95%,14%,<1%,97%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 646,74%,72%,22%,6%,37%,15%,15%,22%,4%,<1%,2%,<1%,<1%,<1%,<1%,<1%
CHEM 649,98%,91%,8%,7%,21%,16%,36%,10%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 720,,,,,,,,,,,,,,,,
CHEM 800,,,,,,,,,,,,,,,,
CHEM 801,,,,11%,68%,21%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 802,,,,,,,,,,,,,,,,
CHEM 803,,,,,,,,,,,,,,,,
CHEM 804,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHEM 805,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLARCH 222,63%,91%,6%,12%,26%,16%,13%,13%,7%,4%,4%,2%,1%,1%,<1%,1%
CLARCH 350,73%,94%,9%,3%,43%,20%,20%,7%,5%,1%,<1%,1%,<1%,1%,<1%,<1%
CLARCH 380,,,,31%,38%,8%,8%,8%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLARCH 440,83%,100%,,,,,,,,,,,,,,
CLARCH 470,,,,25%,<1%,<1%,25%,25%,<1%,25%,<1%,<1%,<1%,<1%,<1%,<1%
CLARCH 482,100%,100%,20%,27%,64%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLARCH 515,,,,,,,,,,,,,,,,
CLARCH 600,38%,40%,,,,,,,,,,,,,,
CLARCH 606,86%,100%,14%,,,,,,,,,,,,,
CLARCH 608,,,,,,,,,,,,,,,,
CLARCH 831,85%,100%,50%,,,,,,,,,,,,,
CLARCH 993,,,,,,,,,,,,,,,,
CLCIV 101,56%,89%,61%,<1%,17%,24%,22%,20%,7%,4%,3%,1%,1%,<1%,<1%,1%
CLCIV 120,61%,92%,20%,7%,42%,25%,10%,7%,3%,2%,1%,1%,<1%,<1%,1%,<1%
CLCIV 125,53%,91%,12%,5%,45%,20%,12%,8%,3%,2%,1%,1%,1%,<1%,1%,1%
CLCIV 220,,,,9%,76%,13%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CLCIV 303,,,,4%,15%,31%,20%,13%,7%,6%,3%,<1%,<1%,1%,<1%,1%
CLCIV 350,63%,94%,7%,5%,40%,20%,14%,11%,4%,2%,1%,1%,1%,1%,<1%,2%
CLCIV 371,63%,89%,7%,2%,30%,30%,17%,11%,4%,2%,1%,1%,<1%,<1%,<1%,<1%
CLCIV 480,,,,17%,36%,18%,8%,13%,5%,1%,1%,<1%,<1%,<1%,<1%,<1%
COGSCI 200,86%,94%,7%,9%,28%,23%,12%,10%,7%,4%,2%,2%,1%,1%,1%,1%
COGSCI 209,73%,86%,6%,8%,40%,19%,11%,8%,5%,2%,3%,2%,1%,1%,<1%,1%
HONORS 135,,,,,,,,,,,,,,,,
HONORS 170,,,,,,,,,,,,,,,,
HONORS 231,57%,81%,16%,51%,29%,12%,4%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HONORS 232,65%,87%,29%,8%,80%,7%,1%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
HONORS 233,,,,3%,83%,9%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HONORS 241,61%,82%,29%,8%,54%,21%,11%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HONORS 242,79%,81%,3%,10%,82%,3%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HONORS 250,83%,100%,11%,94%,<1%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HONORS 251,76%,95%,6%,17%,52%,19%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HONORS 309,71%,84%,7%,10%,55%,18%,10%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HONORS 354,54%,94%,11%,1%,44%,25%,20%,4%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%
COMM 101,70%,74%,15%,<1%,14%,19%,19%,29%,8%,4%,3%,1%,1%,1%,<1%,1%
COMM 102,72%,89%,12%,2%,14%,16%,15%,24%,11%,6%,6%,3%,1%,1%,<1%,1%
COMM 159,81%,91%,22%,13%,38%,27%,9%,7%,3%,1%,<1%,1%,1%,<1%,<1%,<1%
COMM 221,35%,83%,29%,<1%,10%,18%,23%,24%,12%,7%,3%,1%,1%,1%,<1%,<1%
COMM 261,59%,70%,25%,3%,24%,21%,19%,20%,7%,3%,2%,<1%,<1%,<1%,<1%,<1%
COMM 290,,,,20%,48%,20%,4%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMM 292,,,,,,,,,,,,,,,,
COMM 306,,,,8%,59%,22%,5%,3%,1%,2%,<1%,1%,<1%,<1%,<1%,<1%
COMM 307,,,,<1%,39%,35%,12%,10%,<1%,2%,2%,<1%,<1%,<1%,<1%,<1%
COMM 317,,,,10%,21%,27%,25%,9%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMM 318,66%,90%,27%,3%,16%,6%,6%,39%,2%,2%,18%,1%,<1%,5%,<1%,1%
COMM 350,33%,100%,57%,1%,3%,29%,20%,21%,12%,7%,<1%,3%,<1%,<1%,1%,2%
COMM 362,49%,41%,21%,5%,16%,35%,26%,12%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%
COMM 404,87%,90%,15%,2%,25%,33%,23%,8%,5%,1%,1%,<1%,<1%,<1%,<1%,<1%
COMM 405,84%,100%,20%,2%,38%,29%,10%,15%,3%,1%,<1%,1%,<1%,<1%,<1%,1%
COMM 408,83%,99%,11%,2%,39%,24%,17%,10%,4%,1%,<1%,1%,1%,<1%,<1%,1%
COMM 413,92%,97%,8%,9%,30%,25%,12%,12%,5%,3%,2%,<1%,<1%,<1%,<1%,1%
COMM 414,,,,<1%,24%,38%,38%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMM 425,85%,100%,19%,<1%,32%,17%,13%,20%,7%,3%,1%,4%,<1%,<1%,1%,1%
COMM 428,89%,100%,2%,3%,37%,17%,7%,22%,3%,2%,7%,<1%,2%,<1%,<1%,2%
COMM 431,91%,98%,20%,9%,32%,21%,17%,9%,5%,1%,1%,2%,2%,<1%,<1%,1%
COMM 432,86%,100%,20%,12%,36%,19%,16%,8%,5%,1%,1%,<1%,1%,<1%,<1%,<1%
COMM 435,89%,100%,27%,7%,31%,19%,16%,11%,9%,5%,<1%,1%,1%,<1%,<1%,<1%
COMM 439,94%,99%,13%,16%,25%,29%,18%,6%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%
COMM 451,,,,,,,,,,,,,,,,
COMM 464,,,,<1%,32%,21%,17%,24%,3%,2%,<1%,<1%,<1%,<1%,2%,<1%
COMM 466,,,,16%,58%,13%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,3%
COMM 468,100%,100%,5%,<1%,53%,20%,20%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,2%
COMM 482,91%,97%,3%,1%,24%,40%,21%,12%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%
